,sheet,fte,nj,after,njafter,dfte
613,445,24.0,0.0,1.0,0.0,-43.5
614,448,17.0,0.0,0.0,0.0,
615,448,21.5,0.0,1.0,0.0,4.5
616,449,12.5,0.0,0.0,0.0,
617,449,22.5,0.0,1.0,0.0,10.0
618,450,12.5,0.0,0.0,0.0,
619,450,31.5,0.0,1.0,0.0,19.0
620,451,18.5,0.0,0.0,0.0,
621,451,30.5,0.0,1.0,0.0,12.0
622,454,5.5,0.0,0.0,0.0,
623,454,9.0,0.0,1.0,0.0,3.5
624,455,6.0,0.0,0.0,0.0,
625,455,9.0,0.0,1.0,0.0,3.0
626,458,7.0,0.0,0.0,0.0,
627,458,6.5,0.0,1.0,0.0,-0.5
628,459,15.0,0.0,0.0,0.0,
629,459,10.0,0.0,1.0,0.0,-5.0
630,462,12.5,0.0,0.0,0.0,
631,462,13.5,0.0,1.0,0.0,1.0
632,468,55.0,0.0,0.0,0.0,
633,468,25.0,0.0,1.0,0.0,-30.0
634,469,21.5,0.0,0.0,0.0,
635,469,26.5,0.0,1.0,0.0,5.0
636,470,25.5,0.0,0.0,0.0,
637,470,23.0,0.0,1.0,0.0,-2.5
638,471,35.0,0.0,0.0,0.0,
639,471,23.5,0.0,1.0,0.0,-11.5
640,472,38.5,0.0,0.0,0.0,
641,472,20.5,0.0,1.0,0.0,-18.0
642,473,18.5,0.0,0.0,0.0,
643,473,33.5,0.0,1.0,0.0,15.0
644,474,10.5,0.0,0.0,0.0,
645,474,15.0,0.0,1.0,0.0,4.5
646,475,29.0,0.0,0.0,0.0,
647,475,18.0,0.0,1.0,0.0,-11.0
648,476,21.0,0.0,0.0,0.0,
649,476,20.0,0.0,1.0,0.0,-1.0
650,477,22.0,0.0,0.0,0.0,
651,477,16.0,0.0,1.0,0.0,-6.0
652,478,44.5,0.0,0.0,0.0,
653,478,23.0,0.0,1.0,0.0,-21.5
654,481,13.75,0.0,0.0,0.0,
655,481,17.0,0.0,1.0,0.0,3.25
656,483,8.5,0.0,0.0,0.0,
657,483,10.5,0.0,1.0,0.0,2.0
658,485,5.5,0.0,0.0,0.0,
659,485,10.0,0.0,1.0,0.0,4.5
660,487,13.0,0.0,0.0,0.0,
661,487,16.0,0.0,1.0,0.0,3.0
662,488,26.5,0.0,0.0,0.0,
663,488,12.5,0.0,1.0,0.0,-14.0
664,489,16.5,0.0,0.0,0.0,
665,489,11.5,0.0,1.0,0.0,-5.0
666,490,16.25,0.0,0.0,0.0,
667,490,11.0,0.0,1.0,0.0,-5.25
668,492,10.0,0.0,0.0,0.0,
669,492,11.5,0.0,1.0,0.0,1.5
670,493,33.0,0.0,0.0,0.0,
671,493,15.0,0.0,1.0,0.0,-18.0
672,495,18.0,0.0,0.0,0.0,
673,495,18.0,0.0,1.0,0.0,0.0
674,496,17.5,0.0,0.0,0.0,
675,496,15.0,0.0,1.0,0.0,-2.5
676,498,25.0,0.0,0.0,0.0,
677,498,23.75,0.0,1.0,0.0,-1.25
678,499,14.0,0.0,0.0,0.0,
679,499,15.5,0.0,1.0,0.0,1.5
680,501,21.5,0.0,0.0,0.0,
681,501,37.5,0.0,1.0,0.0,16.0
682,503,14.5,0.0,0.0,0.0,
683,503,38.25,0.0,1.0,0.0,23.75
684,509,11.0,0.0,0.0,0.0,
685,509,10.5,0.0,1.0,0.0,-0.5
686,511,12.0,0.0,0.0,0.0,
687,511,9.5,0.0,1.0,0.0,-2.5
688,514,15.0,0.0,0.0,0.0,
689,514,31.0,0.0,1.0,0.0,16.0
690,515,15.0,0.0,0.0,0.0,
691,515,14.5,0.0,1.0,0.0,-0.5
692,516,17.25,0.0,0.0,0.0,
693,516,8.0,0.0,1.0,0.0,-9.25
694,521,12.5,0.0,0.0,0.0,
695,521,6.0,0.0,1.0,0.0,-6.5
696,522,17.0,0.0,0.0,0.0,
697,522,14.5,0.0,1.0,0.0,-2.5
